Player,FantPt,Cmp,Att,Tgt,Rt,Ret,Touch,Game_day_of_week,Game_num,Week_num,Date,Age,Team,,Opp,Result,PassingCmp,PassingAtt,PassingInc,PassingCmp%,PassingYds,PassingTD,PassingInt,PassingPick6,PassingTD%,PassingInt%,PassingRate,PassingSk,PassingYds2,PassingSk%,PassingY/A,PassingAY/A,PassingANY/A,PassingY/C,Touch2,TotOff,YScm,APYd,RtY,FantasyFantPt,FantasyPPR,FantasyDKPt,FantasyFDPt,RushingAtt,RushingYds,RushingY/A,RushingTD,Rushing1D,Kick ReturnsRt,Kick ReturnsYds,Kick ReturnsY/Rt,Kick ReturnsKRTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,ReceivingCtch%,ReceivingY/Tgt,Receiving1D,Punt ReturnsRet,Punt ReturnsYds,Punt ReturnsY/R,Punt ReturnsPRTD,Pos.,Draft
Joe Mixon,51.10,0,22,5,0,0,26,Sun,9,9,2022-11-06,26-105,CIN,,CAR,W 42-21,0,0,0,,0,0,0,,,,,0,0,,,,,,26,153,211,211,0,51.10,55.10,58.1,53.1,22,153,7.0,4,12,0,0,,0,5,4,58,14.5,1,80.0,11.6,3,0,0,,0,RB,2-48
Justin Fields,42.72,17,15,0,0,0,15,Sun,9,9,2022-11-06,23-246,CHI,,MIA,L 32-35,17,28,11,60.7,123,3,0,,10.7,0.0,106.7,2,7,6.67,4.4,6.54,5.87,7.2,15,294,178,178,0,42.72,42.72,45.7,42.7,15,178,11.9,1,12,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-11
Lamar Jackson,42.62,21,9,0,0,0,9,Sun,2,2,2022-09-18,25-254,BAL,,MIA,L 38-42,21,29,8,72.4,318,3,0,,10.3,0.0,142.6,0,0,0.00,11.0,13.03,13.03,15.1,9,437,119,114,0,42.62,42.62,48.6,42.6,9,119,13.2,1,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-32
Josh Jacobs,42.30,0,33,7,0,0,39,Sun,11,12,2022-11-27,24-289,LVR,@,SEA,W 40-34 (OT),0,0,0,,0,0,0,,,,,0,0,,,,,,39,229,303,303,0,42.30,48.30,51.3,45.3,33,229,6.9,2,9,0,0,,0,7,6,74,12.3,0,85.7,10.6,2,0,0,,0,RB,1-24
Lamar Jackson,39.42,18,11,0,0,0,11,Sun,3,3,2022-09-25,25-261,BAL,@,NWE,W 37-26,18,29,11,62.1,218,4,1,,13.8,3.4,110.3,4,12,12.12,7.5,8.72,7.30,12.1,11,313,107,107,0,39.42,39.42,43.4,40.4,11,107,9.7,1,6,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-32
Justin Fields,39.38,12,13,0,0,0,13,Sun,10,10,2022-11-13,23-253,CHI,,DET,L 30-31,12,20,8,60.0,167,2,1,1,10.0,5.0,99.4,3,17,13.04,8.4,8.10,6.30,13.9,13,297,147,147,0,39.38,39.38,43.4,40.4,13,147,11.3,2,6,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-11
Joe Burrow,39.24,34,3,0,0,0,3,Sun,7,7,2022-10-23,25-317,CIN,,ATL,W 35-17,34,42,8,81.0,481,3,0,,7.1,0.0,138.2,3,22,6.67,11.5,12.88,11.53,14.1,3,479,20,20,0,39.24,39.24,42.2,39.2,3,20,6.7,1,2,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-1
Tua Tagovailoa,38.86,36,1,0,0,0,1,Sun,2,2,2022-09-18,24-200,MIA,@,BAL,W 42-38,36,50,14,72.0,469,6,2,,12.0,4.0,124.1,1,8,1.96,9.4,9.98,9.63,13.0,1,462,1,1,0,38.86,38.86,43.9,40.9,1,1,1.0,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-5
Mike Evans,38.70,0,0,12,0,0,10,Sun,16,17,2023-01-01,29-133,TAM,,CAR,W 30-24,0,0,0,,0,0,0,,,,,0,0,,,,,,10,0,207,207,0,38.70,48.70,51.7,43.7,0,0,,0,0,0,0,,0,12,10,207,20.7,3,83.3,17.3,6,0,0,,0,WR,1-7
Tom Brady,37.68,34,3,0,0,0,3,Sun,16,17,2023-01-01,45-151,TAM,,CAR,W 30-24,34,45,11,75.6,432,3,0,,6.7,0.0,127.3,3,21,6.25,9.6,10.93,9.81,12.7,3,415,4,4,0,37.68,37.68,40.7,37.7,3,4,1.3,1,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,6-199
Daniel Jones,36.18,19,11,0,0,0,11,Sun,16,17,2023-01-01,25-219,NYG,,IND,W 38-10,19,24,5,79.2,177,2,0,,8.3,0.0,125.2,0,0,0.00,7.4,9.04,9.04,9.3,11,268,91,91,0,36.18,36.18,36.2,36.2,11,91,8.3,2,8,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-6
Josh Allen,35.86,25,10,0,0,0,10,Sat,14,15,2022-12-17,26-210,BUF,,MIA,W 32-29,25,40,15,62.5,304,4,0,,10.0,0.0,119.2,2,8,4.76,7.6,9.60,8.95,12.2,10,373,77,77,0,35.86,35.86,39.9,35.9,10,77,7.7,0,3,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-7
Josh Allen,35.16,20,5,0,0,0,5,Sun,5,5,2022-10-09,26-141,BUF,,PIT,W 38-3,20,31,11,64.5,424,4,1,,12.9,3.2,134.1,0,0,0.00,13.7,14.81,14.81,21.2,5,466,42,42,0,35.16,35.16,39.2,36.2,5,42,8.4,0,2,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-7
Patrick Mahomes,34.90,30,3,0,0,0,3,Sun,1,1,2022-09-11,26-359,KAN,@,ARI,W 44-21,30,39,9,76.9,360,5,0,,12.8,0.0,144.2,0,0,0.00,9.2,11.79,11.79,12.0,3,365,5,5,0,34.90,34.90,37.9,34.9,3,5,1.7,0,1,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,1-10
Derrick Henry ,34.80,0,32,1,0,0,33,Sun,7,8,2022-10-30,28-299,TEN,@,HOU,W 17-10,0,0,0,,0,0,0,,,,,0,0,,,,,,33,219,228,228,0,34.80,35.80,38.8,35.3,32,219,6.8,2,10,0,0,,0,1,1,9,9.0,0,100.0,9.0,0,0,0,,0,RB,2-45
Jalen Hurts,34.70,22,17,0,0,0,17,Sun,14,15,2022-12-18,24-133,PHI,@,CHI,W 25-20,22,37,15,59.5,315,0,2,,0.0,5.4,64.6,1,6,2.63,8.5,6.08,5.76,14.3,17,370,61,61,0,34.70,34.70,39.7,36.7,17,61,3.6,3,5,0,0,,0,0,0,0,,0,,,0,0,0,,0,QB,2-53
