Team,Date,Pts,TD,TD2,KRTD,Blck,Over/Under,TD3,TO,Day,G#,Week,,Opp,Result,Opp. RushingAtt,Opp. RushingYds,Opp. RushingY/A,Opp. RushingTD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingCmp%,Opp. PassingYds,Opp. PassingTD,Opp. PassingSk,Opp. PassingYds4,Opp. PassingInt,Opp. PassingRate,Pts5,PtsO,PtDif,PC,PuntingPnt,PuntingYds,PuntingY/P,PuntingBlck,KRTD6,PRTD,IntTD,FRTD,OthTD,RetTD,OppKRTD,OppPRTD,OppIntTD,OppFRTD,TD7,KickingXPA,KickingXPM,KickingAtt,KickingMd,Sfty,Tot. Off.Tot,Tot. Off.Ply,Tot. Off.Y/P,Tot. Off.DPly,Tot. Off.DY/P,Tot. Off.TO,Tot. Off.ToP,Tot. Off.Time,VegasSpread,Vegasvs. Line,VegasOver/Under,VegasOU Result
BUF,2022-09-08,31,1,0,0,0,52.0,1,4,Thu,1,1,@,LAR,W 31-10,18,52,2.9,0,29,41,70.7,191,1,7,49,3,58.1,31,10,21,41,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,413,58,7.12,66,3.68,4,31:14,2:46,-2.5,covered,52.0,under
LAR,2022-09-08,10,3,1,0,0,52.0,4,3,Thu,1,1,,BUF,L 10-31,25,121,4.8,1,26,31,83.9,292,3,2,5,2,111.3,10,31,-21,41,4,180,45.0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,0,243,66,3.68,58,7.12,3,28:46,2:46,2.5,did not cover,52.0,under
ATL,2022-09-11,26,2,1,0,0,43.5,3,2,Sun,1,1,,NOR,L 26-27,19,151,7.9,1,23,34,67.6,234,2,4,35,0,106.7,26,27,-1,53,4,180,45.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,2,0,416,71,5.86,57,6.75,2,33:44,3:07,5.5,covered,43.5,over
NOR,2022-09-11,27,0,2,0,0,43.5,2,1,Sun,1,1,@,ATL,W 27-26,38,201,5.3,2,20,33,60.6,215,0,0,0,0,79.7,27,26,1,53,5,272,54.4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,4,0,385,57,6.75,71,5.86,1,26:16,3:07,-5.5,did not cover,43.5,over
CAR,2022-09-11,24,1,1,0,0,42.0,2,1,Sun,1,1,,CLE,L 24-26,39,217,5.6,1,18,34,52.9,138,1,1,9,0,72.9,24,26,-2,50,5,250,50.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,0,261,50,5.22,74,4.80,1,21:34,3:16,-1.5,did not cover,42.0,over
CLE,2022-09-11,26,1,2,0,0,42.0,3,0,Sun,1,1,@,CAR,W 26-24,19,54,2.8,2,16,27,59.3,207,1,4,28,1,80.3,26,24,2,50,4,187,46.8,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,355,74,4.80,50,5.22,0,38:26,3:16,1.5,covered,42.0,over
CHI,2022-09-11,19,0,1,0,0,38.0,1,1,Sun,1,1,,SFO,W 19-10,37,176,4.8,1,13,28,46.4,155,0,2,9,1,49.0,19,10,9,29,6,277,46.2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,204,56,3.64,67,4.94,1,26:32,3:01,6.0,covered,38.0,under
SFO,2022-09-11,10,2,1,0,0,38.0,3,2,Sun,1,1,@,CHI,L 10-19,37,99,2.7,1,8,17,47.1,105,2,2,16,1,81.7,10,19,-9,29,4,161,40.3,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,331,67,4.94,56,3.64,2,33:28,3:01,-6.0,did not cover,38.0,under
CIN,2022-09-11,20,1,0,0,0,44.0,2,5,Sun,1,1,,PIT,L 20-23 (OT),22,75,3.4,0,21,38,55.3,192,1,1,2,0,78.0,20,23,-3,43,3,158,52.7,0,0,0,0,0,0,0,0,0,1,0,2,2,2,4,3,0,432,94,4.60,61,4.38,5,43:42,3:42,-7.0,did not cover,44.0,under
PIT,2022-09-11,23,2,0,0,0,44.0,2,0,Sun,1,1,@,CIN,W 23-20 (OT),34,133,3.9,0,33,53,62.3,299,2,7,39,4,58.6,23,20,3,43,8,388,48.5,0,0,0,1,0,0,1,0,0,0,0,2,1,0,3,2,0,267,61,4.38,94,4.60,0,26:18,3:42,7.0,covered,44.0,under
ARI,2022-09-11,21,5,1,0,0,54.0,6,0,Sun,1,1,,KAN,L 21-44,27,128,4.7,1,30,39,76.9,360,5,0,0,0,144.2,21,44,-23,65,5,255,51.0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,1,1,0,282,63,4.48,66,7.39,0,25:18,3:00,6.5,did not cover,54.0,over
KAN,2022-09-11,44,2,1,0,0,54.0,3,1,Sun,1,1,@,ARI,W 44-21,22,103,4.7,1,24,38,63.2,179,2,3,26,0,91.9,44,21,23,65,2,108,54.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,488,66,7.39,63,4.48,1,34:42,3:00,-6.5,covered,54.0,over
DAL,2022-09-11,3,1,0,0,0,50.0,1,1,Sun,1,1,,TAM,L 3-19,33,152,4.6,0,18,27,66.7,195,1,2,17,1,84.6,3,19,-16,22,5,254,50.8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,4,0,244,64,3.81,62,5.60,1,27:18,2:57,2.0,did not cover,50.0,under
TAM,2022-09-11,19,0,0,0,0,50.0,0,1,Sun,1,1,@,DAL,W 19-3,18,71,3.9,0,21,42,50.0,173,0,4,25,1,51.0,19,3,16,22,3,152,50.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,347,62,5.60,64,3.81,1,32:42,2:57,-2.0,covered,50.0,under
DET,2022-09-11,35,0,4,0,0,48.5,5,1,Sun,1,1,,PHI,L 35-38,39,216,5.5,4,18,32,56.3,239,0,1,4,0,80.1,35,38,-3,73,4,185,46.3,0,0,0,0,0,0,0,0,0,1,0,5,5,5,1,1,0,386,66,5.85,72,6.32,1,28:26,3:15,6.0,covered,48.5,over
PHI,2022-09-11,38,2,3,0,0,48.5,5,0,Sun,1,1,@,DET,W 38-35,28,181,6.5,3,21,37,56.8,205,2,1,10,1,79.2,38,35,3,73,3,137,45.7,0,0,0,1,0,0,1,0,0,0,0,5,5,5,0,0,0,455,72,6.32,66,5.85,0,31:34,3:15,-6.0,did not cover,48.5,over
IND,2022-09-11,20,2,0,0,0,45.5,2,2,Sun,1,1,@,HOU,T 20-20 (OT),28,77,2.8,0,23,37,62.2,222,2,3,18,0,96.9,20,20,0,40,4,179,44.8,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,517,90,5.74,68,4.40,2,39:37,3:33,-7.0,did not cover,45.5,under
HOU,2022-09-11,20,1,1,0,0,45.5,2,1,Sun,1,1,,IND,T 20-20 (OT),38,177,4.7,1,32,50,64.0,340,1,2,12,1,82.1,20,20,0,40,7,318,45.4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0,299,68,4.40,90,5.74,1,30:23,3:33,7.0,covered,45.5,under
MIA,2022-09-11,20,1,0,0,0,46.0,1,0,Sun,1,1,,NWE,W 20-7,22,78,3.5,0,21,30,70.0,193,1,2,20,1,84.4,20,7,13,27,4,183,45.8,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,307,59,5.20,54,5.02,0,32:30,2:50,-3.0,covered,46.0,under
NWE,2022-09-11,7,1,0,0,0,46.0,2,3,Sun,1,1,@,MIA,L 7-20,23,65,2.8,0,23,33,69.7,242,1,3,28,0,100.8,7,20,-13,27,3,118,39.3,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,271,54,5.02,59,5.20,3,27:30,2:50,3.0,did not cover,46.0,under
GNB,2022-09-11,7,2,0,0,0,46.0,2,2,Sun,1,1,@,MIN,L 7-23,28,126,4.5,0,23,32,71.9,269,2,1,8,0,117.8,7,23,-16,30,4,179,44.8,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,0,338,61,5.54,61,6.48,2,28:37,3:03,2.5,did not cover,46.0,under
MIN,2022-09-11,23,0,1,0,0,46.0,1,0,Sun,1,1,,GNB,W 23-7,18,111,6.2,1,26,39,66.7,227,0,4,33,1,71.2,23,7,16,30,5,232,46.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,395,61,6.48,61,5.54,0,31:23,3:03,-2.5,covered,46.0,under
NYJ,2022-09-11,9,3,0,0,0,44.0,3,2,Sun,1,1,,BAL,L 9-24,21,63,3.0,0,17,30,56.7,211,3,2,2,1,98.1,9,24,-15,33,6,253,42.2,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,380,79,4.81,53,5.17,2,32:30,3:03,6.5,did not cover,44.0,under
BAL,2022-09-11,24,1,0,0,0,44.0,1,1,Sun,1,1,@,NYJ,W 24-9,17,83,4.9,0,37,59,62.7,297,1,3,12,1,73.9,24,9,15,33,6,291,48.5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,274,53,5.17,79,4.81,1,27:30,3:03,-6.5,covered,44.0,under
NYG,2022-09-11,21,2,0,0,0,44.0,2,2,Sun,1,1,@,TEN,W 21-20,26,93,3.6,0,20,33,60.6,266,2,1,0,0,106.4,21,20,1,41,6,309,51.5,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0,394,58,6.79,60,5.98,2,28:54,3:00,5.0,covered,44.0,under
TEN,2022-09-11,20,2,1,0,0,44.0,3,1,Sun,1,1,,NYG,L 20-21,32,238,7.4,1,17,21,81.0,156,2,5,32,1,109.5,20,21,-1,41,6,342,57.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,359,60,5.98,58,6.79,1,31:06,3:00,-5.0,did not cover,44.0,under
LVR,2022-09-11,19,3,0,0,0,52.5,3,3,Sun,1,1,@,LAC,L 19-24,31,76,2.5,0,26,34,76.5,279,3,0,0,0,129.4,19,24,-5,43,2,106,53.0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,0,320,56,5.71,65,5.46,3,27:28,2:54,3.5,did not cover,52.5,under
LAC,2022-09-11,24,2,0,0,0,52.5,2,0,Sun,1,1,,LVR,W 24-19,13,64,4.9,0,22,37,59.5,256,2,6,39,3,64.7,24,19,5,43,4,196,49.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,355,65,5.46,56,5.71,0,32:32,2:54,-3.5,covered,52.5,under
JAX,2022-09-11,22,4,0,0,0,43.0,4,1,Sun,1,1,@,WAS,L 22-28,28,85,3.0,0,27,41,65.9,305,4,1,8,2,100.2,22,28,-6,50,3,150,50.0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,383,62,6.18,70,5.57,1,26:27,3:19,3.0,did not cover,43.0,over
WAS,2022-09-11,28,1,1,0,0,43.0,2,3,Sun,1,1,,JAX,W 28-22,18,123,6.8,1,24,42,57.1,260,1,2,15,1,73.5,28,22,6,50,3,147,49.0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,3,0,390,70,5.57,62,6.18,3,33:33,3:19,-3.0,covered,43.0,over
DEN,2022-09-12,16,2,0,0,0,44.5,2,2,Mon,1,1,@,SEA,L 16-17,19,76,4.0,0,23,28,82.1,177,2,2,18,0,116.8,16,17,-1,33,1,36,36.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,433,64,6.77,49,5.16,2,33:39,2:57,-6.5,did not cover,44.5,under
SEA,2022-09-12,17,1,0,0,0,44.5,1,1,Mon,1,1,,DEN,W 17-16,20,103,5.2,0,29,42,69.0,330,1,2,10,0,100.3,17,16,1,33,2,101,50.5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,0,253,49,5.16,64,6.77,1,26:21,2:57,6.5,covered,44.5,under
KAN,2022-09-15,27,3,0,0,0,54.0,3,0,Thu,2,2,,LAC,W 27-24,24,75,3.1,0,33,48,68.8,326,3,2,8,1,99.8,27,24,3,51,6,333,55.5,0,0,0,1,0,0,1,0,0,0,0,3,3,3,1,1,0,319,54,5.91,74,5.42,0,26:23,2:58,-4.0,did not cover,54.0,under
LAC,2022-09-15,24,2,0,0,0,54.0,3,1,Thu,2,2,@,KAN,L 24-27,18,93,5.2,0,24,35,68.6,226,2,1,9,0,105.2,24,27,-3,51,6,243,40.5,0,0,0,0,0,0,0,0,0,1,0,3,3,3,2,2,0,401,74,5.42,54,5.91,1,33:37,2:58,4.0,covered,54.0,under
CLE,2022-09-18,30,4,0,0,0,39.5,4,1,Sun,2,2,,NYJ,L 30-31,20,93,4.7,0,27,45,60.0,309,4,2,15,0,110.3,30,31,-1,61,3,156,52.0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,1,1,0,405,65,6.23,67,6.00,1,32:14,3:09,-6.5,did not cover,39.5,over
NYJ,2022-09-18,31,1,3,0,0,39.5,4,1,Sun,2,2,@,CLE,W 31-30,37,184,5.0,3,22,27,81.5,221,1,1,8,1,97.7,31,30,1,61,4,189,47.3,0,0,0,0,0,0,0,0,0,0,0,4,4,3,1,1,0,402,67,6.00,65,6.23,1,27:46,3:09,6.5,covered,39.5,over
CIN,2022-09-18,17,1,1,0,0,42.0,2,0,Sun,2,2,@,DAL,L 17-20,27,107,4.0,1,19,31,61.3,230,1,1,5,0,94.8,17,20,-3,37,5,236,47.2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,254,67,3.79,59,5.71,0,33:48,3:00,-7.0,did not cover,42.0,under
DAL,2022-09-18,20,1,0,0,0,42.0,1,1,Sun,2,2,,CIN,W 20-17,25,89,3.6,0,24,36,66.7,165,1,6,34,0,86.0,20,17,3,37,5,217,43.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,337,59,5.71,67,3.79,1,26:12,3:00,7.0,covered,42.0,under
DEN,2022-09-18,16,0,0,0,0,45.5,0,1,Sun,2,2,,HOU,W 16-9,18,80,4.4,0,19,38,50.0,154,0,3,23,0,60.6,16,9,7,25,5,214,42.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,350,65,5.38,59,3.97,1,32:33,3:04,-10.0,did not cover,45.5,under
HOU,2022-09-18,9,1,0,0,0,45.5,1,0,Sun,2,2,@,DEN,L 9-16,31,149,4.8,0,14,31,45.2,201,1,3,18,1,64.0,9,16,-7,25,5,268,53.6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,0,234,59,3.97,65,5.38,0,27:27,3:04,10.0,covered,45.5,under
DET,2022-09-18,36,3,1,0,0,48.5,4,0,Sun,2,2,,WAS,W 36-27,21,88,4.2,1,30,46,65.2,308,3,5,29,1,97.0,36,27,9,63,5,277,55.4,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,425,61,6.97,72,5.50,0,27:57,3:07,-1.5,covered,48.5,over
WAS,2022-09-18,27,4,0,0,0,48.5,4,1,Sun,2,2,@,DET,L 27-36,24,191,8.0,0,20,34,58.8,234,4,3,22,0,119.0,27,36,-9,63,6,284,47.3,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,2,1,396,72,5.50,61,6.97,1,32:03,3:07,1.5,did not cover,48.5,over
CHI,2022-09-18,10,2,1,0,0,41.5,3,1,Sun,2,2,@,GNB,L 10-27,38,203,5.3,1,19,25,76.0,211,2,3,23,0,127.2,10,27,-17,37,4,198,49.5,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0,228,41,5.56,66,6.27,1,22:45,2:46,10.0,did not cover,41.5,under
GNB,2022-09-18,27,0,1,0,0,41.5,1,1,Sun,2,2,,CHI,W 27-10,27,180,6.7,1,7,11,63.6,48,0,3,22,1,35.4,27,10,17,37,2,122,61.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,414,66,6.27,41,5.56,1,37:15,2:46,-10.0,covered,41.5,under
IND,2022-09-18,0,2,1,0,0,45.0,3,3,Sun,2,2,@,JAX,L 0-24,37,96,2.6,1,25,30,83.3,235,2,0,0,0,121.5,0,24,-24,24,5,227,45.4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,0,218,48,4.54,67,4.94,3,21:45,2:45,-3.0,did not cover,45.0,under
